type,message,len_type,len_message
0,lol you forgot it eh yes i ll bring it in babe,3,49
0,its good we ll find a way,3,26
0,can not use foreign stamps in this country good lecture,3,58
0,yup bathe liao,3,17
0,happy new year my no man,3,26
0,oh mr sheffield you wanna play that game okay you re the boss and i m the nanny you give me a raise and i ll give you one,3,127
0,zoe it just hit me im fucking shitin myself il defo try my hardest cum morow luv u millions lekdog,3,103
0,hello baby did you get back to your mom s are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs,3,157
0,no my blankets are sufficient thx,3,34
0,naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,3,128
0,edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm,3,143
0,they just talking thats it de they wont any other,3,51
0,today am going to college so am not able to atten the class,3,60
0,i m in class will holla later,3,30
0,easy ah sen got selected means its good,3,41
0,mmm thats better now i got a roast down me i d b better if i had a few drinks down me good indian,3,103
1,we know someone who you know that fancies you call to find out who pobox lshb p,4,101
0,come round it s,3,19
0,do thing change that sentence into because i want concentrate in my educational career im leaving here,3,114
1,s flirting now txt girl or bloke ur name age eg girl zoe to to join and get chatting,4,104
0,i walked an hour c u doesn t that show i care y wont u believe im serious,3,78
1,days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to,4,135
0,are you available for soiree on june rd,3,41
0,do u noe wat time e place dat sells d closes,3,46
0,i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,3,136
0,jay s getting really impatient and belligerent,3,46
0,hiya comin bristol st week in april les got off rudi on new yrs eve but i was snoring they were drunk u bak at college yet my work sends ink bath,3,157
0,i m at work please call,3,24
0,then u drive lor,3,17
0,ard like dat y,3,20
0,tell me they re female v how re you throwing in we re deciding what all to get now,3,84
1,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to now chance win cash wkent p,4,153
0,i m working technical support voice process networking field,3,63
0,i might come to kerala for days so you can be prepared to take a leave once i finalise dont plan any travel during my visit need to finish urgent works,3,155
0,ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve,3,122
1,we have new local dates in your area lots of new people registered in your area reply date to start now only www flirtparty us replys,4,143
0,that s fine i ll bitch at you about it later then,3,50
0,no my mum went dentist,3,25
0,once free call me sir i am waiting for you,3,44
0,meeting u is my work tel me when shall i do my work tomorrow,3,65
1,someone u know has asked our dating service contact you cant guess who call now all will be revealed po box m wu,4,134
0,jus finish bathing,3,21
0,alright i ll make sure the car is back tonight,3,47
1,urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call from land line claim c validhrs only,4,157
1,dear u ve been invited to xchat this is our final attempt to contact u txt chat to,4,90
0,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea,3,135
0,aight ill get on fb in a couple minutes,3,39
0,oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,3,83
0,where can download clear movies dvd copies,3,44
0,yep by the pretty sculpture,3,28
0,convey my regards to him,3,24
0,me too watching surya movie only after pm vijay movie pokkiri,3,67
0,you tell what happen dont behave like this to me ok no need to say,3,67
0,can u get pic msgs to your phone,3,33
0,send to someone else,3,24
0,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,3,119
0,for me the love should start with attraction i should feel that i need her every time around me she should be the first thing which comes in my thoughts i would start the day and end it with her she should be there every time i dream love will be then when my every breath has her name my life should happen around her my life will be named to her i would cry for her will give all my happiness and take all her sorrows i will be ready to fight with anyone for her i will be in love when i will be doing the craziest things for her love will be when i don t have to proove anyone that my girl is the most beautiful lady on the whole planet i will always be singing praises for her love will be when i start up making chicken curry and end up makiing sambar life will be the most beautiful then will get every morning and thank god for the day because she is with me i would like to say a lot will tell later,3,910
0,fr ndship is like a needle of a clock though v r in d same clock v r nt able met evn if v meet itz only few seconds bt v alwys stay conected gud t,3,158
0,i don t think he has spatula hands,3,35
0,you can never do nothing,3,24
1,you are awarded a sipix digital camera call from landline delivery within days t cs box mbp yr warranty ppm p p,4,153
0,goodmorning today i am late for lt decimal gt min,3,53
1,win urgent your mobile number has been awarded with a prize guaranteed call from land line claim valid hrs only ppm,4,147
0,please da call me any mistake from my side sorry da pls da goto doctor,3,72
0,where r we meeting,3,19
0,well the weather in cali s great but its complexities are great you need a car to move freely its taxes are outrageous but all in all its a great place the sad part is i missing home,3,188
0,now only i reached home i am very tired now i will come tomorro,3,71
0,ryder unsold now gibbs,3,23
1,dear subscriber ur draw gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to,4,142
0,don t fret i ll buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal address u ll be alright okay,3,160
0,no gifts you trying to get me to throw myself off a cliff or something,3,73
0,been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today,3,106
0,you busy or can i come by at some point and figure out what we re doing tomorrow,3,80
0,yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary,3,105
0,black shirt n blue jeans i thk i c,3,43
0,aiyah sorry lor i watch tv watch until i forgot check my phone,3,68
1,message important information for o user today is your lucky day find out why log onto http www urawinner com there is a fantastic surprise awaiting you,4,159
0,on hen night going with a swing,3,32
0,good afternoon my love how goes your day what are you up to i woke early and am online waiting for you hmmm italian boy is online i see grins,3,159
0,from someone not to smoke when every time i ve smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,3,140
0,no you ll just get a headache trying to figure it out u can trust me to do the math i promise o,3,101
0,s s first time dhoni rocks,3,31
0,ok ill tell the company,3,23
0,awesome think we can get an th at usf some time tonight,3,58
0,so that means you still think of teju,3,37
0,no i m good for the movie is it ok if i leave in an hourish,3,61
0,no no this is kallis home ground amla home town is durban,3,60
0,so lets make it saturday or monday as per convenience,3,54
0,hey what time is your driving on fri we go for evaluation on fri,3,69
1,you have won a price to claim call,4,70
0,i m going lunch now wif my family then aft dat i go str orchard lor,3,72
1,bored of speed dating try speedchat txt speedchat to if you don t like em txt swap and get a new chatter chat poboxwwq p msg rcd,4,156
0,cancel cheyyamo and get some money back,3,40
1,do you want anytime any network mins text and a new video phone for only five pounds per week call now or reply for delivery tomorrow,4,153
0,ok ok ok then whats ur todays plan,3,36
0,good morning princess how are you,3,35
0,aiyar sorry lor forgot tell u,3,34
1,for taking part in our mobile survey yesterday you can now have texts use however you wish get txts just send txt to t c www txt com p,4,156
0,not tonight mate catching up on some sleep this is my new number by the way,3,79
0,height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay,3,114
1,ur hmv quiz cash balance is currently to maximize ur cash in now send hmv to only p msg,4,105
0,so check your errors and if you had difficulties do correction,3,64
0,howz pain hope u r fine,3,25
0,sorry i ll call later,3,22
0,good morning princess how are you,3,35
0,as i entered my cabin my pa said happy b day boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,3,156
0,u wake up already thanx e tau sar piah it s quite nice,3,58
0,k do i need a login or anything,3,31
1,dont forget you can place as many free requests with stchoice co uk as you wish for more information call,4,120
0,lol no just was busy,3,24
0,what u wearing,3,17
0,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,3,152
0,oh as usual vijay film or its different,3,41
1,i don t know u and u don t know me send chat to now and let s find each other only p msg rcvd hg suite lands row wjhl ldn years or over,4,158
0,have you had a good day mine was really busy are you up to much tomorrow night,3,80
0,and is there a way you can send shade s stuff to her and she has been wonderful too,3,85
0,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf study,3,115
1,thank you winner notified by sms good luck no future marketing reply stop to customer services,4,115
0,babe i lost you,3,25
0,ok help me ask if she s working tmr a not,3,45
0,i m not driving raining then i ll get caught at e mrt station lor,3,70
0,not a drop in the tank,3,22
0,that said can you text him one more time,3,43
0,sorry i ll call later,3,22
0,ok i go change also,3,22
1,s of girls many local u who r virgins this r ready fil ur every sexual need can u fil theirs text cute to p m,4,140
0,did u find a sitter for kaitlyn i was sick and slept all day yesterday,3,72
0,sorry man accidentally left my phone on silent last night and didn t check it til i got up,3,91
0,hey something came up last min think i wun be signing up tmr hee,3,70
0,he s an adult and would learn from the experience there s no real danger i just dont like peeps using drugs they dont need but no comment,3,140
0,hey there s veggie pizza,3,31
0,yun buying but school got offer plus only,3,52
0,you sure your neighbors didnt pick it up,3,40
0,k i will sent it again,3,23
1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,4,155
0,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct,3,145
0,well im computerless time to make some oreo truffles,3,54
0,haha yeah i see that now be there in a sec,3,43
0,i am not having her number sir,3,30
0,lol now i m after that hot air balloon,3,39
0,ok now i am in bus if i come soon i will come otherwise tomorrow,3,71
0,msgs r not time pass they silently say that i am thinking of u right now and also making u think of me at least a moment gd nt swt drms shesil,3,146
0,yeah we can probably swing by once my roommate finishes up with his girl,3,73
1,got what it takes take part in the wrc rally in oz u can with lucozade energy text rally le to p see packs or lucozade co uk wrc itcould be u,4,159
0,happy new years melody,3,23
0,dun need to pick ur gf,3,26
0,yay you better not have told that to other girls either,3,59
0,horrible u eat macs eat until u forgot abt me already rite u take so long reply i thk it s more toot than b so b prepared now wat shall i eat,3,150
0,did he say how fantastic i am by any chance or anything need a bigger life lift as losing the will live do you think i would be the first person die from n v q,3,167
0,just nw i came to hme da,3,26
0,i m outside islands head towards hard rock and you ll run into me,3,66
0,to day class is there are no class,3,35
0,i m in chennai velachery,3,26
0,you flippin your shit yet,3,26
0,k give me a sec breaking a lt gt at cstore,3,49
0,am i that much bad to avoid like this,3,38
0,yo you around just got my car back,3,36
0,annoying isn t it,3,18
0,goodmorning today i am late for lt gt min,3,48
0,there s no point hangin on to mr not right if he s not makin u happy,3,68
0,all will come alive better correct any good looking figure there itself,3,73
0,in that case i guess i ll see you at campus lodge,3,49
0,we re done,3,13
0,come to my home for one last time i wont do anything trust me,3,63
0,i was up all night too worrying about this appt it s a shame we missed a girls night out with quizzes popcorn and you doing my hair,3,133
1,sex up ur mobile with a free sexy pic of jordan just text babe to then every wk get a sexy celeb pocketbabe co uk more pics wk,4,155
0,ok c ya,3,13
1,you have new voicemail please call,4,49
0,what he said is not the matter my mind saying some other matter is there,3,74
0,he also knows about lunch menu only da i know,3,48
0,al he does is moan at me if n e thin goes wrong its my fault al de arguments r my fault fed up of him of himso y bother hav go thanx xx,3,138
0,neft transaction with reference number lt gt for rs lt decimal gt has been credited to the beneficiary account on lt gt at lt time gt lt gt,3,164
0,otherwise had part time job na tuition,3,40
0,i know she called me,3,20
0,me also da i feel yesterday night wait til day night dear,3,61
0,thanks for understanding i ve been trying to tell sura that,3,61
1,win a year supply of cds a store of ur choice worth enter our weekly draw txt music to ts cs www ldew com subs winppmx,4,147
0,the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p,3,130
1,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no to claim p msg exp apr,4,148
0,i need you to be in my strong arms,3,37
0,also maaaan are you missing out,3,31
0,his bday real is in april,3,27
0,guessin you ain t gonna be here before,3,41
0,ok then i will come to ur home after half an hour,3,49
0,yo the game almost over want to go to walmart soon,3,52
0,yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well,3,124
0,i ll text now all creepy like so he won t think that we forgot,3,63
0,that would be good i ll phone you tomo lunchtime shall i to organise something,3,85
1,you have new voicemail please call,4,50
0,damn can you make it tonight or do you want to just wait til tomorrow,3,70
0,k k i m also fine when will you complete the course,3,55
0,true it is passable and if you get a high score and apply for phd you get years of salary so it makes life easier,3,119
1,no nokia tone ur mob every week just txt nok to st tone free so get txtin now and tell ur friends p tone reply hl info,4,143
0,prakesh is there know,3,22
0,teach me apps da when you come to college,3,43
0,rofl betta invest in some anti aging products,3,46
1,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim,4,146
0,sir you will receive the account no another hr time sorry for the delay,3,75
1,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations www phb com ph p,4,159
0,so ll be submitting da project tmr rite,3,43
1,free entry into our weekly comp just send the word enter to now t c www textcomp com cust care,4,123
0,jus ans me lar u ll noe later,3,31
0,i want to send something that can sell fast lt gt k is not easy money,3,76
0,have got few things to do may be in pub later,3,51
0,s finish meeting call me,3,27
0,lol ok i ll snatch her purse too,3,34
0,hello drivby quit edrunk sorry iff pthis makes no senrd dnot no how dancce drum n basq ihave fun nhite x ros xxxxxxx,3,129
0,your opinion about me over jada kusruthi lovable silent spl character not matured stylish simple pls reply,3,136
0,how much are we getting,3,24
0,is ur paper in e morn or aft tmr,3,33
0,dear relieved of westonzoyland all going to plan this end too,3,63
0,hope you are having a great new semester do wish you the very best you are made for greatness,3,96
0,oh yes i can speak txt u no hmm did u get email,3,53
0,i want to show you the world princess how about europe,3,59
0,nobody can decide where to eat and dad wants chinese,3,52
0,no shoot me i m in the docs waiting room,3,45
0,now i m going out dinner soon,3,34
0,hello which the site to download songs its urgent pls,3,53
0,i do know what u mean is the king of not havin credit i m goinbed now night night sweet onlymore sleep,3,111
0,horrible gal me in sch doing some stuff how come u got mc,3,60
0,hi hun im not comin nite tell every im sorry me hope u ava goodtime oli rang melnite ifink it mite b sorted but il explain everythin on mon lrs x,3,152
0,i call you later don t have network if urgnt sms me,3,55
0,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,3,84
1,please call immediately as there is an urgent message waiting for you,4,81
0,yeah like if it goes like it did with my friends imma flip my shit in like half an hour,3,87
0,mum say we wan to go then go then she can shun bian watch da glass exhibition,3,84
0,what your plan for pongal,3,26
0,just wait till end of march when el nino gets himself oh,3,58
0,not yet chikku going to room nw i m in bus,3,46
0,am also doing in cbe only but have to pay,3,43
0,honey boo i m missing u,3,24
0,we have sent jd for customer service cum accounts executive to ur mail id for details contact us,3,97
0,yo i m at my parents gettin cash good news we picked up a downstem,3,70
0,thank you so much when we skyped wit kz and sura we didnt get the pleasure of your company hope you are good we ve given you ultimatum oh we are countin down to aburo enjoy,3,179
1,hungry gay guys feeling hungry and up it now call just p min to stop texts call p min,4,120
0,ok no wahala just remember that a friend in need,3,54
0,i will see in half an hour,3,26
0,im in inperialmusic listeningthe weirdest track ever by leafcutter john sounds like insects being molested someone plumbing remixed by evil men on acid,3,156
0,hey sorry i didntgive ya a a bellearlier hunny,3,47
0,seriously tell her those exact words right now,3,48
1,can u get phone now i wanna chat set up meet call me now on u can cum here moro luv jane xx calls minmoremobsemspoboxpowa,4,147
0,tee hee off to lecture cheery bye bye,3,40
0,sorry chikku my cell got some problem thts y i was nt able to reply u or msg u,3,81
0,if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,3,116
0,ok,3,5
1,network operator the service is free for t c s visit biz,4,66
0,let me know how to contact you i ve you settled in a room lets know you are ok,3,81
0,wot u up u weirdo,3,20
0,can do lor,3,13
0,dont put your phone on silent mode ok,3,37
0,can i meet at as where depends on where wan in lor,3,66
0,waiting my tv show start lor u leh still busy doing ur report,3,69
0,oh ho is this the first time u use these type of words,3,55
0,am i the only one who doesn t stalk profiles,3,45
0,ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it gud nyt,3,160
0,yes i thought so thanks,3,25
0,but if she s drinkin i m ok,3,28
0,just wondering the others just took off,3,40
0,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng,3,156
0,what do you do my dog must i always wait till the end of your day to have word from you did you run out of time on your cell already,3,138
0,happy new year to u too,3,24
0,hey great deal farm tour am to pm pax deposit by may,3,70
0,eat jap done oso aft ur lect wat got lect at rite,3,62
0,hey babe i saw you came online for a second and then you disappeared what happened,3,86
0,da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,3,174
0,happy birthday may all ur dreams come true,3,48
0,aiyah u did ok already lar e nydc at wheellock,3,48
0,tell her i said eat shit,3,25
0,sure i am driving but will reach my destination soon,3,54
0,k so am i how much for an th fifty,3,38
0,your daily text from me a favour this time,3,46
0,great to hear you are settling well so what s happenin wit ola,3,64
0,those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,3,133
0,i tot u reach liao he said t shirt,3,36
0,fran i decided go n e way im completely broke an knackered i got up bout c u mrw love janx p s this is my dads fone no credit,3,132
0,i cant pick the phone right now pls send a message,3,51
0,your right i ll make the appointment right now,3,48
0,designation is software developer and may be she get chennai,3,62
1,enjoy the jamster videosound gold club with your credits for new videosounds logos musicnews get more fun from jamster co uk only help call,4,163
1,get lions england tone reply lionm mono or lionp poly more go www ringtones co uk the original n best tones gbp network operator rates apply,4,155
0,i jokin oni lar busy then i wun disturb,3,48
0,ok be careful don t text and drive,3,39
0,i ll always be there even if its just in spirit i ll get a bb soon just trying to be sure i need it,3,103
0,u r too much close to my heart if u go away i will be shattered plz stay with me,3,83
0,i love u babe r u sure everything is alrite is he being an idiot txt bak girlie,3,84
0,how abt making some of the pics bigger,3,39
0,got but got colours lor one colour is quite light n e other is darker lor actually i m done she s styling my hair now,3,122
0,whenevr ur sad whenevr ur gray remembr im here listn watevr u wanna say jus walk wid me a little while amp i promise i ll bring back ur smile,3,154
0,why nothing ok anyway give me treat,3,36
1,win the newest harry potter and the order of the phoenix book reply harry answer questions chance to be the first among readers,4,140
0,ok,3,5
0,correct so how was work today,3,30
0,just sent again do you scream and moan in bed princess,3,57
0,i wake up long ago already dunno what other thing,3,54
0,oh just getting even with u u,3,34
0,i thk shd be ok he said plus minus did leave a line in between paragraphs,3,85
0,can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before o clock so call me plz,3,139
0,yeah jay s sort of a fucking retard,3,35
0,sorry was in the bathroom sup,3,31
1,ur balance is now ur next question is who sang uptown girl in the s answer txt ur answer to good luck,4,126
0,my exam is for february wish you a great day,3,48
0,i dont know what to do to come out of this so only am ask questions like this dont mistake me,3,94
0,aight no rush i ll ask jay,3,27
0,good morning plz call me sir,3,28
0,it s ok lar u sleep early too nite,3,41
0,oh icic k lor den meet other day,3,42
0,oh a half hour is much longer in syria than canada eh wow you must get so much more work done in a day than us with all that extra time grins,3,150
0,sometimes we put walls around our hearts not just to be safe from getting hurt but to find out who cares enough to break the walls amp get closer goodnoon,3,162
0,sweet we may or may not go to u to meet carlos so gauge patty s interest in that,3,82
0,then she buying today no need to c meh,3,45
0,aight sorry i take ten years to shower what s the plan,3,56
0,every monday nxt week vl be completing,3,41
0,might ax well im there,3,23
0,just chill for another hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay,3,112
0,yeah i ll try to scrounge something up,3,38
0,crazy ar he s married like gd looking guys not me my frens like say he s korean leona s fave but i dun thk he is aft some thinking mayb most prob i ll go,3,160
0,were somewhere on fredericksburg,3,32
0,que pases un buen tiempo or something like that,3,47
0,is it ok if i stay the night here xavier has a sleeping bag and i m getting tired,3,82
0,she doesnt need any test,3,25
0,nothing much chillin at home any super bowl plan,3,51
1,freeday sexy st george s day pic of jordan txt pic to dont miss out then every wk a saucy celeb more pics c pocketbabe co uk wk,4,155
0,bugis oso near wat,3,22
0,yo theres no class tmrw right,3,30
0,let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in world gnun sent via waysms com,3,121
0,goodnight sleep well da please take care pa please,3,53
0,baaaaabe i misss youuuuu where are you i have to go and teach my class at,3,84
0,convey my regards to him,3,24
0,u ned to convince him tht its not possible witot hurting his feeling its the main,3,81
0,good afternoon loverboy how goes you day any luck come your way i think of you sweetie and send my love across the sea to make you smile and happy,3,152
0,if i start sending blackberry torch to nigeria will you find buyer for me like a month and tell dad not to buy bb from anyone oh,3,131
0,lt gt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to lt gt frnds in lt gt mins whn u read,3,327
0,yo dude guess who just got arrested the other day,3,49
0,shuhui say change suntec steamboat u noe where where r u now,3,65
0,what does the dance river do,3,29
0,yetunde i m sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger,3,207
0,hey i will be really pretty late you want to go for the lesson first i will join you i m only reaching tp mrt,3,114
1,hot live fantasies call now just p per min ntt ltd po box croydon cr wb k,4,101
0,bbq this sat at mine from ish ur welcome come,3,49
0,i don t know same thing that s wrong everyso often he panicks starts goin on bout not bein good enough,3,108
0,alright i m out have a good night,3,36
0,did you try making another butt,3,32
0,hope you are feeling great pls fill me in abiola,3,50
0,i though we shd go out n have some fun so bar in town or something sound ok,3,80
0,go to write msg put on dictionary mode cover the screen with hand press lt gt gently remove ur hand its interesting,3,141
1,bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call p min stop texts call,4,151
1,new mobiles from must go txt nokia to no collect yours today from only www tc biz optout gbp mtmsg txtauction,4,154
0,we re finally ready fyi,3,23
0,auntie huai juan never pick up her phone,3,40
1,double mins double txt price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers or calloptout lf,4,159
0,ya tel wats ur problem,3,25
1,no nokia tone ur mob every week just txt nok to st tone free so get txtin now and tell ur friends p tone reply hl info,4,143
0,i dnt wnt to tlk wid u,3,22
0,we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight,3,155
0,its ok my arm is feeling weak cuz i got a shot so we can go another time,3,72
0,please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve i already see in net no ticket available i want to book ticket through tackle,3,203
0,storming msg wen u lift d phne u say hello do u knw wt is d real meaning of hello it s d name of a girl yes and u knw who is dat girl margaret hello she is d girlfrnd f grahmbell who invnted telphone moral one can get d name of a person,3,278
0,that s ok i popped in to ask bout something and she said you d been in are you around tonght wen this girl comes,3,115
0,all e best ur exam later,3,27
0,hope ur head doesn t hurt much am ploughing my way through a pile of ironing staying in with a chinky tonight come round if you like,3,139
0,oh k i think most of wi and nz players unsold,3,46
0,haha where got so fast lose weight thk muz go a month den got effect gee later we go aust put bk e weight,3,115
0,i wonder how you got online my love had you gone to the net cafe did you get your phone recharged were you on a friends net i think of you boytoy,3,155
0,haha just kidding papa needs drugs,3,35
0,thk shld b can ya i wana go lessons haha can go for one whole stretch,3,82
0,oh ok,3,7
0,r we still meeting dinner tonight,3,36
0,thats cool i am a gentleman and will treat you with dignity and respect,3,73
0,shall i start from hear,3,24
0,then we wait u lor no need feel bad lar,3,49
0,no did you check i got his detailed message now,3,48
0,you have registered sinco as payee log in at icicibank com and enter urn lt gt to confirm beware of frauds do not share or disclose urn to anyone,3,155
0,no i decided that only people who care about stuff vote and caring about stuff is for losers,3,93
0,kaiez enjoy ur tuition gee thk e second option sounds beta i ll go yan jiu den msg u,3,99
0,you have registered sinco as payee log in at icicibank com and enter urn lt gt to confirm beware of frauds do not share or disclose urn to anyone,3,155
0,cool we will have fun practicing making babies,3,48
0,actually getting ready to leave the house,3,42
0,k k any special today,3,24
1,urgent important information for o user today is your lucky day find out why log onto http www urawinner com there is a fantastic surprise awaiting for you,4,163
0,then we gotta do it after that,3,30
0,i ve got ten bucks jay is being noncomittal,3,44
0,where at were hungry too,3,24
0,pls speak to that customer machan,3,34
0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams,3,144
0,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,3,179
1,dear u ve been invited to xchat this is our final attempt to contact u txt chat to p msgrcvdhg suite lands row wjhl ldn yrs,4,143
0,so wats ur opinion abt him and how abt is character,3,52
0,jay is snickering and tells me that x is totally fucking up the chords as we speak,3,82
0,no few hours before went to hair cut,3,39
0,no wonder cos i dun rem seeing a silver car but i thk i saw a black one,3,80
0,lmao take a pic and send it to me,3,35
0,speak only when you feel your words are better than the silence gud mrng,3,82
0,no she s currently in scotland for that,3,41
0,do you work all this week,3,27
1,congratulations ur awarded either of cd gift vouchers free entry our weekly draw txt music to tncs www ldew com winppmxage,4,152
0,lol great now im getting hungry,3,32
0,yes now only saw your message,3,33
0,i ll be at mu in like lt gt seconds,3,41
0,ok,3,5
0,thing r good thanx got exams in march ive done no revision is fran still with boyf ive gotta interviw exeter bit worried x,3,126
0,tell you what if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february,3,153
1,for sale arsenal dartboard good condition but no doubles or trebles,4,71
0,don t look back at the building because you have no coat and i don t want you to get more sick just hurry home and wear a coat to the gym,3,141
0,my painful personal thought i always try to keep everybody happy all the time but nobody recognises me when i am alone,3,124
0,thanks for ve lovely wisheds you rock,3,38
0,you intrepid duo you have a great time and see you both soon,3,63
0,i asked sen to come chennai and search for job,3,47
0,dad went out oredi,3,22
0,i jus hope its true that missin me cos i m really missin him you haven t done anything to feel guilty about yet,3,115
0,wat so late still early mah or we juz go dinner lor aiya i dunno,3,71
0,arms fine how s cardiff and uni,3,34
0,in fact when do you leave i think addie goes back to school tues or wed,3,72
0,cool breeze bright sun fresh flower twittering birds all these waiting to wish u goodmorning amp have a nice day,3,134
0,ya going for restaurant,3,26
0,its ok i just askd did u knw tht no,3,38
1,free st week entry textpod a chance win gb ipod or cash every wk txt pod to ts cs www textpod net custcare,4,141
0,those ducking chinchillas,3,25
0,i am in a marriage function,3,27
0,looks like u wil b getting a headstart im leaving here bout ish but if u r desperate for my company i could head in earlier we were goin to meet in rummer,3,159
0,don t give a flying monkeys wot they think and i certainly don t mind any friend of mine and all that,3,107
1,as a registered optin subscriber ur draw gift voucher will be entered on receipt of a correct ans to whats no in the bbc charts,4,142
0,say thanks,3,13
0,msg me when rajini comes,3,25
0,ya when are taking ure practical lessons i start in june,3,65
0,that s good because i need drugs,3,33
0,stupid its not possible,3,23
0,can all decide faster cos my sis going home liao,3,53
1,summers finally here fancy a chat or flirt with sexy singles in yr area to get matched up just reply summer now free join optout txt stop help,4,159
0,u sleeping now or you going to take haha i got spys wat me online checking n replying mails lor,3,104
1,claire here am havin borin time am now alone u wanna cum over nite chat now hope c u luv claire xx calls minmoremobsemspoboxpowa,4,154
0,fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose u lose if u win u still lose,3,149
1,bought one ringtone and now getting texts costing pound offering more tones etc,4,81
0,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae so lyf is nt yet ovr chikku ali vargu lyfu meow meow d,3,144
0,kinda first one gets in at twelve aah speak tomo,3,51
1,urgent your mobile no xxxxxxxxx won a bonus caller prize on this is the nd attempt to reach you call asap,4,153
0,ok good then i later come find c lucky i told to go earlier later pple take finish no more again,3,114
0,wat makes u thk i ll fall down but actually i thk i m quite prone falls lucky my dad at home i ask him come n fetch me already,3,131
1,you are guaranteed the latests nokia phone a gb ipod mp player or a prize txt word collect to no tc llc ny usa p mt msgrcvd,4,159
0,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,3,174
0,i wont touch you with out your permission,3,42
1,hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg day lucy x calls minmobsmorelkpoboxhpfl,4,161
0,wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st ur lovely friendship good morning dear,3,153
0,take some small dose tablet for fever,3,37
0,oh u must have taken your real valentine out shopping first,3,61
0,just sent you an email to an address with incomm in it is that right,3,74
0,will do you gonna be at blake s all night i might be able to get out of here a little early,3,93
0,friendship is not a game to play it is not a word to say it doesn t start on march and ends on may it is tomorrow yesterday today and e,3,141
0,nice wait should you be texting right now i m not gonna pay your ticket ya know,3,85
0,i m watching lotr w my sis dis aft so u wan meet me dinner at nite a not,3,78
0,why you keeping me away like this,3,33
0,i think its far more than that but find out check google maps for a place from your dorm,3,90
